comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.7704	0.7704	[0.5, 0.47]
['dual', 'sham']	0.7642	0.7704	[0.494, 0.47]
['sham', 'preSMA']	0.4145	0.7704	[0.47, 0.464]
