comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.0375	0.1125	[4.167, 8.167]
['IFG', 'sham']	0.2004	0.2004	[6.0, 8.167]
['sham', 'preSMA']	0.149	0.2004	[8.167, 6.0]
