comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.3592	0.5388000000000001	[0.466, 0.473]
['preSMA', 'sham']	0.3062	0.5388000000000001	[0.463, 0.473]
['sham', 'dual']	0.7294	0.7294	[0.473, 0.485]
