comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.3866	0.4863	[0.432, 0.439]
['dual', 'sham']	0.1091	0.32730000000000004	[0.417, 0.439]
['sham', 'preSMA']	0.4863	0.4863	[0.439, 0.439]
