comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.6959	0.6959	[0.398, 0.386]
['sham', 'IFG']	0.6871	0.6959	[0.386, 0.397]
['sham', 'preSMA']	0.3539	0.6959	[0.386, 0.38]
