comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.8568	0.8568	[0.456, 0.483]
['sham', 'IFG']	0.6961	0.8568	[0.456, 0.468]
['sham', 'preSMA']	0.714	0.8568	[0.456, 0.471]
