comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.6971	0.8933	[0.478, 0.466]
['dual', 'sham']	0.8557	0.8933	[0.497, 0.466]
['sham', 'preSMA']	0.8933	0.8933	[0.466, 0.506]
