comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.8226	0.8953	[7.667, 6.333]
['sham', 'IFG']	0.8953	0.8953	[6.333, 7.333]
['sham', 'dual']	0.805	0.8953	[6.333, 8.333]
