comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.4938	0.6784	[0.438, 0.438]
['sham', 'IFG']	0.6784	0.6784	[0.438, 0.453]
['sham', 'dual']	0.4558	0.6784	[0.438, 0.435]
