comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.1345	0.3832	[12.0, 14.167]
['sham', 'IFG']	0.277	0.3832	[14.167, 12.5]
['sham', 'dual']	0.3832	0.3832	[14.167, 13.167]
