comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.6885	0.9614	[0.469, 0.476]
['sham', 'IFG']	0.9614	0.9614	[0.469, 0.497]
['sham', 'preSMA']	0.9082	0.9614	[0.469, 0.491]
