comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.4228	0.5037	[0.526, 0.52]
['sham', 'IFG']	0.294	0.5037	[0.526, 0.506]
['sham', 'preSMA']	0.5037	0.5037	[0.526, 0.526]
