comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.9726	0.9726	[0.583, 0.522]
['sham', 'IFG']	0.9306	0.9726	[0.522, 0.542]
['sham', 'dual']	0.933	0.9726	[0.522, 0.56]
