comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.0478	0.07170000000000001	[12.5, 8.0]
['sham', 'IFG']	0.2441	0.2441	[12.5, 11.333]
['sham', 'preSMA']	0.016	0.048	[12.5, 6.167]
