comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.5886	0.8034	[6.0, 5.5]
['sham', 'IFG']	0.194	0.5820000000000001	[5.5, 3.833]
['sham', 'dual']	0.8034	0.8034	[5.5, 8.5]
