comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.0975	0.2241	[0.515, 0.568]
['sham', 'IFG']	0.2241	0.2241	[0.568, 0.542]
['sham', 'preSMA']	0.2047	0.2241	[0.568, 0.538]
