no	trial	design	participant	group	session	date	name	opacity	rt	trial_order	repet	is.rep	orig	tot	abs	rel	cond
41	20	4	10	b	2	2022_Sep_08_1729	'bar_4_2','bar_4_8','bar_4_7'	1	3.78522300720215	2	3	0	37	40	92.5	92.5	sham
42	20	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_7'	1	1.38453388214111	0	4	0	36	40	90	90	sham
43	21	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_5'	1	3.25070786476135	1	2	1	38	40	95	95	sham
44	21	4	10	b	2	2022_Sep_08_1729	'bar_4_1','bar_4_4'	1	3.03735303878784	2	3	0	37	40	92.5	92.5	sham
45	21	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_7'	1	1.17120099067688	0	4	0	36	40	90	90	sham
46	22	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_8'	1	1.33154892921448	1	2	0	38	40	95	95	sham
47	22	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_2'	1	0.986644983291626	2	3	0	37	40	92.5	92.5	sham
48	22	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_2'	1	1.1184709072113	0	4	0	36	40	90	90	sham
49	23	3	10	b	2	2022_Sep_08_1729	'bar_3_4','bar_3_8','bar_3_7'	1	2.79751706123352	1	2	0	38	40	95	95	sham
50	23	4	10	b	2	2022_Sep_08_1729	'bar_4_3'	1	1.25127577781677	2	3	0	37	40	92.5	92.5	sham
51	23	11	10	b	2	2022_Sep_08_1729	'bar_11_7','bar_11_3','bar_11_8'	1	2.07960200309753	0	4	0	36	40	90	90	sham
52	24	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_4'	1	3.70382618904114	1	2	0	38	40	95	95	sham
53	24	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_1','bar_4_5'	1	3.09045004844666	2	3	0	37	40	92.5	92.5	sham
54	24	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_7','bar_11_4'	1	2.15760803222656	0	4	0	36	40	90	90	sham
55	25	3	10	b	2	2022_Sep_08_1729	'bar_3_4','bar_3_3','bar_3_8'	1	2.82404398918152	1	2	0	38	40	95	95	sham
56	25	4	10	b	2	2022_Sep_08_1729	'bar_4_5'	1	0.531450986862183	2	3	0	37	40	92.5	92.5	sham
57	25	11	10	b	2	2022_Sep_08_1729	'bar_11_7','bar_11_3','bar_11_5'	1	1.91780018806458	0	4	0	36	40	90	90	sham
58	26	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_4','bar_3_1'	1	3.27766799926758	1	2	0	38	40	95	95	sham
59	26	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_5'	1	1.99901103973389	2	3	0	37	40	92.5	92.5	sham
60	26	11	10	b	2	2022_Sep_08_1729	'bar_11_7','bar_11_3','bar_11_2','bar_11_6'	1	3.51804614067078	0	4	0	36	40	90	90	sham
61	27	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_4','bar_3_8','bar_3_7'	1	2.39932608604431	1	2	1	38	40	95	95	sham
62	27	4	10	b	2	2022_Sep_08_1729	'bar_4_6','bar_4_5','bar_4_4'	1	1.62429881095886	2	3	0	37	40	92.5	92.5	sham
63	27	11	10	b	2	2022_Sep_08_1729	'bar_11_7','bar_11_3','bar_11_6'	1	4.05059385299683	0	4	0	36	40	90	90	sham
64	28	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_4','bar_3_7'	1	2.74595499038696	1	2	0	38	40	95	95	sham
65	28	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_6','bar_4_7'	1	1.86473512649536	2	3	0	37	40	92.5	92.5	sham
66	28	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_8'	1	3.09100794792175	0	4	0	36	40	90	90	sham
67	29	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_4','bar_3_6'	1	2.74592089653015	1	2	0	38	40	95	95	sham
68	29	4	10	b	2	2022_Sep_08_1729	'bar_4_7','bar_4_8','bar_4_2'	1	2.26430487632751	2	3	1	37	40	92.5	92.5	sham
69	29	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_8','bar_11_5'	1	2.90413594245911	0	4	0	36	40	90	90	sham
70	3	3	10	b	2	2022_Sep_08_1729	'bar_3_8'	1	0.746320962905884	1	2	0	38	40	95	95	sham
71	3	4	10	b	2	2022_Sep_08_1729	'bar_4_7'	1	0.797999858856201	2	3	0	37	40	92.5	92.5	sham
72	3	11	10	b	2	2022_Sep_08_1729	'bar_11_7'	1	0.9583740234375	0	4	0	36	40	90	90	sham
73	30	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_7','bar_3_6'	1	2.21086406707764	1	2	0	38	40	95	95	sham
74	30	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_4','bar_4_2'	1	3.62511205673218	2	3	0	37	40	92.5	92.5	sham
75	30	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_8','bar_11_4'	1	2.90580797195435	0	4	0	36	40	90	90	sham
76	31	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_7','bar_3_8'	1	1.86576294898987	1	2	0	38	40	95	95	sham
77	31	4	10	b	2	2022_Sep_08_1729	'bar_4_2','bar_4_3','bar_4_4','bar_4_7'	1	3.17104697227478	2	3	0	37	40	92.5	92.5	sham
78	31	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_4'	1	2.77074098587036	0	4	0	36	40	90	90	sham
79	32	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_7','bar_3_8','bar_3_4'	1	2.50410890579224	1	2	0	38	40	95	95	sham
80	32	4	10	b	2	2022_Sep_08_1729	'bar_4_3','bar_4_4','bar_4_2','bar_4_7','bar_4_6'	1	3.86360311508179	2	3	0	37	40	92.5	92.5	sham
81	32	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_4'	1	3.17238402366638	0	4	1	36	40	90	90	sham
82	33	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_7','bar_3_8','bar_3_4','bar_3_1'	1	4.90334296226501	1	2	0	38	40	95	95	sham
83	33	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_3','bar_4_7'	1	2.45229697227478	2	3	0	37	40	92.5	92.5	sham
84	33	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_6','bar_11_5'	1	3.33057880401611	0	4	0	36	40	90	90	sham
85	34	3	10	b	2	2022_Sep_08_1729	'bar_3_3','bar_3_7','bar_3_8','bar_3_6'	1	3.83776116371155	1	2	0	38	40	95	95	sham
86	34	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_3','bar_4_5'	1	2.02496814727783	2	3	0	37	40	92.5	92.5	sham
87	34	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_2','bar_11_6','bar_11_7','bar_11_5'	1	3.3858060836792	0	4	0	36	40	90	90	sham
88	35	3	10	b	2	2022_Sep_08_1729	'bar_3_7','bar_3_4','bar_3_1'	1	2.79822397232056	1	2	0	38	40	95	95	sham
89	35	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_2','bar_4_3','bar_4_6','bar_4_5'	1	4.02321696281433	2	3	0	37	40	92.5	92.5	sham
90	35	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_3','bar_11_6','bar_11_7','bar_11_8','bar_11_5'	1	3.91701078414917	0	4	0	36	40	90	90	sham
91	36	3	10	b	2	2022_Sep_08_1729	'bar_3_4','bar_3_7','bar_3_8','bar_3_6'	1	2.79723691940308	1	2	0	38	40	95	95	sham
92	36	4	10	b	2	2022_Sep_08_1729	'bar_4_5','bar_4_1','bar_4_2','bar_4_3','bar_4_4'	1	3.83699297904968	2	3	0	37	40	92.5	92.5	sham
93	36	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_7','bar_11_2','bar_11_6','bar_11_4'	1	4.31691694259644	0	4	0	36	40	90	90	sham
94	37	3	10	b	2	2022_Sep_08_1729	'bar_3_7','bar_3_8','bar_3_4','bar_3_1','bar_3_5'	1	3.14452886581421	1	2	0	38	40	95	95	sham
95	37	4	10	b	2	2022_Sep_08_1729	'bar_4_4','bar_4_3','bar_4_6','bar_4_5','bar_4_7'	1	3.62551999092102	2	3	0	37	40	92.5	92.5	sham
96	37	11	10	b	2	2022_Sep_08_1729	'bar_11_3','bar_11_7','bar_11_2','bar_11_6','bar_11_8','bar_11_4','bar_11_5'	1	4.1835720539093	0	4	0	36	40	90	90	sham
97	38	3	10	b	2	2022_Sep_08_1729	'bar_3_6','bar_3_8','bar_3_4','bar_3_7','bar_3_5'	1	3.99720692634583	1	2	0	38	40	95	95	sham
98	38	4	10	b	2	2022_Sep_08_1729	'bar_4_7','bar_4_3','bar_4_4','bar_4_5'	1	2.53058981895447	2	3	0	37	40	92.5	92.5	sham
99	38	11	10	b	2	2022_Sep_08_1729	'bar_11_2','bar_11_7','bar_11_1','bar_11_5'	1	4.26456212997437	0	4	0	36	40	90	90	sham
100	39	3	10	b	2	2022_Sep_08_1729	'bar_3_2','bar_3_6','bar_3_1'	1	3.51715397834778	1	2	0	38	40	95	95	sham
101	39	4	10	b	2	2022_Sep_08_1729	'bar_4_5','bar_4_1','bar_4_4','bar_4_6','bar_4_8'	1	3.30380988121033	2	3	0	37	40	92.5	92.5	sham
102	39	11	10	b	2	2022_Sep_08_1729	'bar_11_7','bar_11_6','bar_11_2','bar_11_1'	1	2.47921085357666	0	4	0	36	40	90	90	sham
103	4	3	10	b	2	2022_Sep_08_1729	'bar_3_4'	1	0.746222019195557	1	2	0	38	40	95	95	sham
104	4	4	10	b	2	2022_Sep_08_1729	'bar_4_2'	1	0.906519889831543	2	3	0	37	40	92.5	92.5	sham
