mode	model	cat	difficulty	sham_corr	ifg_corr	ifg_raw_p	ifg_effsize	presma_corr	presma_raw_p	presma_effsize	dual_corr	dual_raw_p	dual_effsize
order	fasttext	Geschirr	15	0.5024473591211377	0.4289832381994738	0.6333666333666333	0.24937815660780213	0.345925975810488	0.12087912087912088	0.8541355260705075	0.20904392169517635	0.10989010989010989	0.9068324815335839	
order	fasttext	Getränke	9	-0.00520066382220492	0.44564111040891224	0.000999000999000999	-2.2873374723342614	0.03304659932702527	0.7562437562437563	-0.15705455531582518	0.31101514780576583	0.027972027972027972	-1.3036202970421225	
order	fasttext	Fische	21	0.06826408594235418	0.07039479589558438	0.984015984015984	-0.006739300319585404	0.24458509510439272	0.3156843156843157	-0.5768693582880517	0.3189691205302749	0.16783216783216784	-0.7862127933696837	
order	fasttext	Metalle	22	0.22388330733424366	0.22211399711399715	0.993006993006993	0.004233374413232668	0.15216172716172716	0.5934065934065934	0.2711183561352792	0.058649079485053275	0.3386613386613387	0.499309358785103	
order	fasttext	Autoteile	5	0.08742931926358162	0.12702629583916566	0.7622377622377622	-0.14837650084113269	0.1378864625693191	0.6283716283716284	-0.25255993970705054	0.07547041316551298	0.9230769230769231	0.060282452632827915	
order	fasttext	Kleidungsstücke	3	0.14608800782067166	0.022296376311380196	0.3256743256743257	0.5126220751156901	0.1269006579647698	0.7922077922077922	0.13100538250493354	0.06678371755957963	0.5514485514485514	0.3372519670235627	
order	fasttext	Bäume	12	0.23109942015421367	0.32885708808868275	0.5474525474525475	-0.3009558721934777	0.19943484052179705	0.8371628371628371	0.09540727043762015	0.15482736436482336	0.6743256743256744	0.1952828226213906	
order	fasttext	Sportarten	2	0.22805120389827982	0.1547921262582295	0.6383616383616384	0.24119427913604502	0.45978001095219995	0.22677322677322678	-0.7978777409164656	0.18470179632793574	0.8401598401598401	0.1084658134943764	
order	fasttext	Früchte	7	0.2533652562422756	0.07303522725319726	0.08891108891108891	1.0815765753709068	0.2664345863961233	0.913086913086913	-0.05364835022439632	0.3289201712284046	0.5274725274725275	-0.3414012022778902	
order	fasttext	Insekten	19	0.19982838798628275	0.3931633742436	0.26073926073926074	-0.6215534269241029	0.06918357041893204	0.5294705294705294	0.3256329828168554	0.2976856734596673	0.45854145854145856	-0.37332240812783224	
order	fasttext	Berufe	6	-0.15155043447786537	0.07263951069203155	0.22377622377622378	-0.6751252595506385	0.21526854059227193	0.04595404595404595	-1.2422623919098308	0.08714167852977384	0.1968031968031968	-0.8028751956039745	
order	fasttext	Spielzeug	17	0.17217584403710848	-0.030437347396526964	0.29270729270729273	0.5715163624803752	-0.011459153983719883	0.5484515484515484	0.3746890298990181	0.2770984863090126	0.5984015984015985	-0.28998167648351336	
order	fasttext	Lebensmittel	4	0.07992732647503066	0.31862596645319347	0.1068931068931069	-1.0440861681181095	0.20381706153875448	0.2977022977022977	-0.5887999054129315	0.06958909518684761	0.9370629370629371	0.03908300703884091	
order	fasttext	Kosmetik	14	0.11744227994227995	0.19257029520187416	0.7392607392607392	-0.19716222411111076	0.16392088027350118	0.7632367632367633	-0.15831639366100025	0.1280555122626734	0.954045954045954	-0.03409709383520378	
order	fasttext	Gartengeräte	18	0.1286259320315048	0.2702400029390175	0.5214785214785215	-0.3274281618732508	0.3848908444496679	0.26873126873126874	-0.6291191694748438	0.03302449184802126	0.6583416583416584	0.23727710378355546	
order	fasttext	Tiere	1	0.06601921024665232	0.1000323431010282	0.6613386613386614	-0.25087509272418607	0.18545040295128976	0.1258741258741259	-0.9101470159959063	0.11428920794134878	0.7722277722277723	-0.19911444314859558	
order	fasttext	Körperteile	0	-0.005372963342735179	0.24119183220286833	0.07392607392607392	-1.0468751131782412	0.1383733363455223	0.4165834165834166	-0.4510897361161825	0.22080792967530571	0.13586413586413587	-0.9217653639006528	
order	fasttext	Gewürze	11	0.016475689772903396	0.2690732800040685	0.0919080919080919	-0.9464028677809941	0.12106977559763937	0.4745254745254745	-0.3692668122024942	-0.10178313474078289	0.46853146853146854	0.39237593628886097	
order	fasttext	Musikinstrumente	8	0.40560781178836014	0.40583425242501275	0.997002997002997	-0.000894323381060259	0.27416920138615225	0.4015984015984016	0.4746866868950026	0.24760205835653407	0.22577422577422576	0.6249807772835294	
order	fasttext	Werkzeug	16	0.20250333601726792	0.011477179511235225	0.32367632367632365	0.576950619423418	0.09170216144880573	0.5124875124875125	0.3627938191503063	0.18204600294259363	0.8431568431568431	0.08576203575924414	
order	fasttext	Gemüse	10	0.1592637250145338	0.09880549593303305	0.6263736263736264	0.2452151452080206	0.3408016519014299	0.2217782217782218	-0.6815029699724652	0.3194209696735029	0.1938061938061938	-0.8160889989606411	
order	fasttext	Süßigkeiten	23	0.10450674351402235	0.27343224856386245	0.26673326673326675	-0.6509609129585701	0.16780945662524607	0.6973026973026973	-0.18460673472816957	0.19524005406358347	0.6843156843156843	-0.21125278795573615	
order	fasttext	Möbel	13	0.3863070082113283	0.18022872197330173	0.3026973026973027	0.5710438686596302	0.18312429298814256	0.3036963036963037	0.582602950455883	0.315655763832498	0.7782217782217782	0.16002411030117522	
order	fasttext	Blumen	20	-0.0697296167884403	0.21691641691641694	0.24675324675324675	-0.6864372222216784	0.1143380149262502	0.3936063936063936	-0.45984156362260625	0.06896980481286151	0.45554445554445555	-0.38828919571830917	
