mode	model	cat	difficulty	sham_corr	ifg_corr	ifg_raw_p	ifg_effsize	presma_corr	presma_raw_p	presma_effsize	dual_corr	dual_raw_p	dual_effsize
order	word_surprisal	Geschirr	15	0.5514165204882565	0.6108020768792836	0.7372627372627373	-0.20002438965527608	0.5158808538036533	0.7512487512487512	0.15516184116436485	0.4442212078503555	0.5144855144855145	0.3597188150245489	
order	word_surprisal	Getränke	9	0.15260837968466348	0.3007901976213118	0.5074925074925075	-0.3886578658775695	0.2782999408596013	0.5704295704295704	-0.33645748971936124	0.41450873820452977	0.2547452547452547	-0.6602195915237353	
order	word_surprisal	Fische	21	0.1018148169572477	0.3539178951117569	0.16183816183816183	-0.8052365959843671	0.02040769269941523	0.6733266733266733	0.22540414586132207	0.3919148502585806	0.14385614385614387	-0.8468604197898194	
order	word_surprisal	Metalle	22	0.2696725362947731	0.43958488662096545	0.4205794205794206	-0.4509954822600391	0.4490691450835122	0.4065934065934066	-0.46776648565208484	0.41662238041445016	0.5344655344655345	-0.3438856656269908	
order	word_surprisal	Autoteile	5	0.2970228494103358	0.19071452415438736	0.12287712287712288	0.962853160421663	0.14025030742999117	0.14585414585414586	0.8840076461007076	0.2020037803865067	0.26373626373626374	0.6204301635470637	
order	word_surprisal	Kleidungsstücke	3	0.37850130564011447	0.1881625474638624	0.26873126873126874	0.5912339048578619	0.34584922977786753	0.7842157842157842	0.1567014832708719	-0.02178383438135251	0.04195804195804196	1.3575385548799481	
order	word_surprisal	Bäume	12	0.34331024882093014	0.39980434092779066	0.8191808191808192	-0.1645792327620262	0.2431895534520674	0.6153846153846154	0.29113853143699175	0.3470678384066688	0.9820179820179821	-0.009119571381914162	
order	word_surprisal	Sportarten	2	0.42725139888830777	0.1237103967391729	0.1008991008991009	0.9550554445550121	0.3225189794661239	0.6253746253746254	0.2634196103147427	0.05571846467642826	0.04795204795204795	1.1946401193558331	
order	word_surprisal	Früchte	7	0.4241352872290432	0.16764690096557552	0.06593406593406594	1.1141660248033416	0.2218812294507595	0.13086913086913088	0.8377013522546515	0.3068536157589092	0.46653346653346656	0.416995032907509	
order	word_surprisal	Insekten	19	0.4169593247239389	0.3431217529889743	0.7592407592407593	0.16136035662621173	0.4298495119866759	0.939060939060939	-0.045293072310673914	0.41772540189651436	0.998001998001998	-0.002397362055059554	
order	word_surprisal	Berufe	6	0.16401316407502833	-0.024909508422304924	0.22777222777222778	0.691808223898293	0.254330866214291	0.5404595404595405	-0.3391392472066568	0.12097879122482423	0.7642357642357642	0.1560962238454534	
order	word_surprisal	Spielzeug	17	0.21192169083920884	0.0370964223470831	0.3986013986013986	0.46701878593939716	0.043659389158347606	0.46653346653346656	0.41757184935679914	-0.02179197377127501	0.2007992007992008	0.7755736154570866	
order	word_surprisal	Lebensmittel	4	0.1436224572125779	0.2843590836255071	0.4025974025974026	-0.4479716674591468	0.1670975791473046	0.8421578421578422	-0.09701866726974226	0.1792215787076641	0.7712287712287712	-0.15969753693163125	
order	word_surprisal	Kosmetik	14	0.030351755465206767	-0.21501176245624284	0.1928071928071928	0.7071399265174755	0.09111431645395185	0.7762237762237763	-0.1630933838238571	-0.03937267412221903	0.6903096903096904	0.24161649189258433	
order	word_surprisal	Gartengeräte	18	0.2047812919671549	0.40625650327312157	0.3946053946053946	-0.5309834512921918	0.20918028173649442	0.985014985014985	-0.009344230531124128	0.258046269955143	0.7382617382617382	-0.16723351258811023	
order	word_surprisal	Tiere	1	0.26227845929401805	0.26948916413059804	0.939060939060939	-0.05039765450267971	0.18045537464060427	0.3876123876123876	0.5168742904319914	0.06681442008120968	0.04495504495504495	1.19078246377611	
order	word_surprisal	Körperteile	0	0.2771911887132486	0.3585843958095732	0.4835164835164835	-0.3494018772843704	0.24510383625775825	0.8311688311688312	0.15614988977010635	0.06936475410958053	0.34465534465534464	0.5164708340825629	
order	word_surprisal	Gewürze	11	0.26783855635446674	0.5411439146198006	0.03696303696303696	-1.3079633836933338	0.4869746836867046	0.0939060939060939	-0.9869937418069723	0.26518606568051395	0.986013986013986	0.010343490789276159	
order	word_surprisal	Musikinstrumente	8	0.4023495509846511	0.2729599717289115	0.1958041958041958	0.7327720228505928	0.390600616444644	0.932067932067932	0.05365895907599054	0.16663947217632788	0.09290709290709291	1.0196106898076513	
order	word_surprisal	Werkzeug	16	0.30472331830820515	0.2177678667224674	0.5314685314685315	0.3150490429882088	0.15133736515538534	0.3966033966033966	0.460594534083768	0.29377861073612316	0.9500499500499501	0.036408563840183476	
order	word_surprisal	Gemüse	10	0.017527122708041427	0.09210645634870734	0.5444555444555444	-0.3366033312588649	0.28448970283875347	0.026973026973026972	-1.336581494612934	0.20741923899987544	0.13886113886113885	-0.856385799285532	
order	word_surprisal	Süßigkeiten	23	0.1501936772506404	0.4097176412241339	0.14785214785214784	-0.7941591123177508	0.2592163868384516	0.5604395604395604	-0.3221094810963597	0.1360745576855981	0.945054945054945	0.04038386205504306	
order	word_surprisal	Möbel	13	0.3569521103482165	0.4667738261459897	0.4565434565434565	-0.4015686842256197	0.39675637382436896	0.8171828171828172	-0.1163993183743804	0.4777633027311272	0.5264735264735265	-0.32301751823246627	
order	word_surprisal	Blumen	20	0.2374539387132716	0.3051856243870117	0.7352647352647352	-0.18533595184256987	0.24201405366551748	0.985014985014985	-0.013867173093098326	0.27560025395632526	0.7542457542457542	-0.16282281574740987	
