comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.0287	0.08610000000000001	[10.167, 5.333]
['sham', 'IFG']	0.2169	0.2169	[10.167, 7.833]
['sham', 'preSMA']	0.1748	0.2169	[10.167, 7.833]
