comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.8033	0.8033	[0.452, 0.482]
['sham', 'IFG']	0.7045	0.8033	[0.452, 0.475]
['sham', 'preSMA']	0.3632	0.8033	[0.452, 0.441]
