comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.6125	0.9668	[0.4, 0.393]
['sham', 'IFG']	0.9668	0.9668	[0.393, 0.448]
['sham', 'dual']	0.8655	0.9668	[0.393, 0.426]
