comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.623	0.623	[0.437, 0.43]
['sham', 'IFG']	0.5354	0.623	[0.43, 0.432]
['sham', 'dual']	0.2375	0.623	[0.43, 0.414]
