comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.0289	0.0867	[0.459, 0.513]
['sham', 'IFG']	0.2904	0.2904	[0.513, 0.499]
['sham', 'dual']	0.1135	0.17025	[0.513, 0.487]
