comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.8024	0.8024	[10.0, 8.0]
['sham', 'IFG']	0.3369	0.75	[8.0, 7.167]
['sham', 'dual']	0.5	0.75	[8.0, 8.0]
