comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.2009	0.2009	[0.484, 0.466]
['sham', 'IFG']	0.0892	0.1338	[0.484, 0.46]
['sham', 'preSMA']	0.0887	0.1338	[0.484, 0.456]
