comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.5507	0.5507	[0.511, 0.51]
['dual', 'sham']	0.5466	0.5507	[0.512, 0.51]
['sham', 'preSMA']	0.2146	0.5507	[0.51, 0.494]
