comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.6233	0.859	[0.509, 0.502]
['IFG', 'sham']	0.3104	0.859	[0.491, 0.502]
['sham', 'preSMA']	0.859	0.859	[0.502, 0.525]
