comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.0728	0.2184	[7.833, 11.0]
['dual', 'sham']	0.1522	0.2283	[8.667, 11.0]
['sham', 'IFG']	0.7595	0.7595	[11.0, 13.167]
