comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.2586	0.7758	[4.167, 5.5]
['dual', 'sham']	0.856	0.856	[9.167, 5.5]
['sham', 'preSMA']	0.6634	0.856	[5.5, 6.4]
