comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.2509	0.2509	[0.49, 0.505]
['dual', 'sham']	0.1183	0.17745000000000002	[0.478, 0.505]
['sham', 'preSMA']	0.0489	0.1467	[0.505, 0.469]
