comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['preSMA', 'sham']	0.2016	0.3417	[0.479, 0.516]
['dual', 'sham']	0.2278	0.3417	[0.489, 0.516]
['sham', 'IFG']	0.3556	0.3556	[0.516, 0.502]
