mode	model	cat	difficulty	sham_corr	ifg_corr	ifg_raw_p	ifg_effsize	presma_corr	presma_raw_p	presma_effsize	dual_corr	dual_raw_p	dual_effsize
rts	neg_word_frequency	Geschirr	15	0.3570626047073093	0.24459742355115546	0.5484515484515484	0.33090147425879546	0.3401142054134769	0.9170829170829171	0.05239153034020647	0.19767031797866716	0.44455544455544455	0.4225750602027844	
rts	neg_word_frequency	Getränke	9	-0.024748467941285823	0.13165995336913533	0.2957042957042957	-0.5932950063091545	0.14419912901941137	0.3166833166833167	-0.564976381571629	0.18003786494215046	0.3696303696303696	-0.5217823188280636	
rts	neg_word_frequency	Fische	21	0.12889415102637955	0.16495069851958913	0.8411588411588412	-0.1073281533050649	0.20652401717527813	0.6503496503496503	-0.25791592512932343	0.0777583670660793	0.7512487512487512	0.16235136889882015	
rts	neg_word_frequency	Metalle	22	0.37034340681300365	0.1735930735930736	0.3106893106893107	0.5894532740839886	0.2887362637362638	0.6703296703296703	0.27524638629737813	0.16029875313724018	0.21878121878121878	0.7135540475936015	
rts	neg_word_frequency	Autoteile	5	0.10712045097761129	-0.06652657554209858	0.14585414585414586	0.8274725559247658	0.07236524072893563	0.8151848151848152	0.14021035484253502	0.20949775962989728	0.37362637362637363	-0.6022698700725335	
rts	neg_word_frequency	Kleidungsstücke	3	0.17651026143155624	0.04185081190225037	0.3356643356643357	0.5313344409822598	0.028956278523585885	0.24175824175824176	0.5413722209680185	0.03679962977635589	0.2807192807192807	0.5837136327587741	
rts	neg_word_frequency	Bäume	12	0.05513208012071554	0.0628991338591761	0.9170829170829171	-0.028192267828651432	0.11198415014233538	0.6063936063936064	-0.3014167555097773	0.037931092155507024	0.8781218781218781	0.09051469843764025	
rts	neg_word_frequency	Sportarten	2	0.11250151572363108	-0.05210970984356928	0.32967032967032966	0.541232315064971	0.22443634118264208	0.5694305694305695	-0.3056030690378909	0.07122481070306398	0.8551448551448552	0.12665119689739623	
rts	neg_word_frequency	Früchte	7	0.01082508595705129	0.24237690228733275	0.06693306693306693	-1.0780416329988785	0.06035999509311144	0.6863136863136863	-0.23062565832729962	0.13128946206972092	0.40559440559440557	-0.4677586099903067	
rts	neg_word_frequency	Insekten	19	0.08565161027252866	0.1428807004509661	0.7282717282717283	-0.20851435175362812	0.05192757624895176	0.7872127872127872	0.1397777350803337	0.1030756965119337	0.9210789210789211	-0.06594905490659488	
rts	neg_word_frequency	Berufe	6	-0.07532608183643934	-0.15714321152390634	0.6143856143856143	0.2794509275753582	0.044686202402678364	0.4865134865134865	-0.40208285241441416	0.003463290411711742	0.6113886113886113	-0.3190389057815385	
rts	neg_word_frequency	Spielzeug	17	0.05502223504817153	0.22640783705893863	0.3246753246753247	-0.5405947905629036	-0.011766408629638556	0.7272727272727273	0.2181130307382834	0.022554209244536768	0.8671328671328671	0.07873185932301349	
rts	neg_word_frequency	Lebensmittel	4	0.09274125068345436	-0.018873473657729373	0.3926073926073926	0.48448885293780436	0.13918347023911035	0.6763236763236763	-0.23835950587067847	0.04780418605782572	0.7212787212787213	0.20817158110225167	
rts	neg_word_frequency	Kosmetik	14	0.04678943468222404	-0.07480204277873535	0.5464535464535465	0.37274599739450265	0.1199052783444532	0.7152847152847153	-0.22840884680576565	0.11763251136247317	0.7092907092907093	-0.20395723646082642	
rts	neg_word_frequency	Gartengeräte	18	0.1374677652819681	0.03622667962547876	0.6203796203796204	0.2746620885159097	-0.027789338650712734	0.2777222777222777	0.6004505915196081	0.16755279034690804	0.9100899100899101	-0.07083088618655894	
rts	neg_word_frequency	Tiere	1	0.18645969901094128	0.16481143733082232	0.8761238761238761	0.07364930121397315	0.0692731905422892	0.4325674325674326	0.4404672425414171	0.1516287870439795	0.8041958041958042	0.13160502670454047	
rts	neg_word_frequency	Körperteile	0	0.18126597076467763	-0.02943019309827617	0.13786213786213786	0.8401380095944212	0.22412867292250763	0.7192807192807192	-0.20046249339706632	0.09557260328707773	0.42857142857142855	0.4147888075525151	
rts	neg_word_frequency	Gewürze	11	0.3421084526395075	0.15488477195816425	0.2837162837162837	0.5646944091236897	0.1042234285775993	0.1028971028971029	0.9999427847878565	0.22458308613767805	0.41358641358641357	0.4462805107866133	
rts	neg_word_frequency	Musikinstrumente	8	0.18707570140318117	0.09951382612511679	0.5704295704295704	0.2992727688363646	0.21703500135210843	0.8091908091908092	-0.10685676380477749	0.0650042033927347	0.4995004995004995	0.3753509245292415	
rts	neg_word_frequency	Werkzeug	16	-0.1572885581200107	0.024650979740223424	0.16383616383616384	-0.7976612303103916	0.08957923466689854	0.0999000999000999	-0.9828637740962117	0.2348170371618481	0.000999000999000999	-2.373845230676036	
rts	neg_word_frequency	Gemüse	10	-0.08083008771159568	0.0423882972525857	0.4145854145854146	-0.47203112422732324	0.05623492577066482	0.7402597402597403	-0.3598581782820026	0.035447432394910244	0.2647352647352647	-0.6616642781526255	
rts	neg_word_frequency	Süßigkeiten	23	0.2631731246884614	0.050471069776230316	0.3016983016983017	0.5712326793335144	0.2673301501945114	0.9820179820179821	-0.01140943526444812	0.005376653263810251	0.25574425574425574	0.6449638318292193	
rts	neg_word_frequency	Möbel	13	0.19221526428754773	0.19047923498891264	0.98001998001998	0.0059543088076498725	0.32277490562271866	0.41058941058941056	-0.46592503919446143	0.18094595522641574	0.9500499500499501	0.03042101514939263	
rts	neg_word_frequency	Blumen	20	0.04162244598594907	0.34969752469752474	0.022977022977022976	-1.3214023752224875	0.2556155609096786	0.2137862137862138	-0.7200410321696449	0.07954481241009474	0.7342657342657343	-0.1715497793902585	
