mode	model	cat	difficulty	sham_corr	ifg_corr	ifg_raw_p	ifg_effsize	presma_corr	presma_raw_p	presma_effsize	dual_corr	dual_raw_p	dual_effsize
rts	word_surprisal	Geschirr	15	0.40498882031936073	0.5765582090625947	0.3696303696303696	-0.5787788304589232	0.4357061763343872	0.8951048951048951	-0.08526014119917005	0.6068158275385581	0.20279720279720279	-0.6995341540708021	
rts	word_surprisal	Getränke	9	0.2691496193066309	0.4427826948292853	0.23476523476523475	-0.68175567396938	0.3691987986363452	0.4885114885114885	-0.4077190930674778	0.5511659268027279	0.0899100899100899	-1.062269048595773	
rts	word_surprisal	Fische	21	0.26130868872193574	0.23105421457090647	0.7962037962037962	0.1517916960279491	0.21931486275897938	0.7592407592407593	0.1709555833562493	0.4055404988918449	0.3006993006993007	-0.5520604775183175	
rts	word_surprisal	Metalle	22	0.3566244613276443	0.34321911991979953	0.9180819180819181	0.05395980623080051	0.6499992909905868	0.030969030969030968	-1.2131492271521152	0.5554903698391102	0.21178821178821178	-0.7215336457579333	
rts	word_surprisal	Autoteile	5	0.39137254279266026	0.27850618670968763	0.2907092907092907	0.6554435350922088	0.1935268803251611	0.053946053946053944	1.086509994516346	0.37893383754720983	0.8581418581418582	0.09767966729478035	
rts	word_surprisal	Kleidungsstücke	3	0.3867818854220639	0.19877558048233135	0.18081918081918083	0.7964041013710259	0.25878661097003103	0.14685314685314685	0.8232991547085716	0.12170920890255088	0.00999000999000999	1.5201720448195912	
rts	word_surprisal	Bäume	12	0.22554425617401597	0.39614747462307887	0.45354645354645357	-0.4738121611387027	0.4007785780804927	0.4175824175824176	-0.5132725305389637	0.2014564607168953	0.913086913086913	0.053112818289323474	
rts	word_surprisal	Sportarten	2	0.37358062902440947	0.2710645189702888	0.4945054945054945	0.33693277009835815	0.4099650728990774	0.8131868131868132	-0.1386065047797322	0.4043738562094396	0.8231768231768232	-0.12969877211014827	
rts	word_surprisal	Früchte	7	0.4085015391558489	0.4006446119062684	0.955044955044955	0.03558457740918454	0.44219092919959607	0.7442557442557443	-0.1901279722831078	0.45321179636756986	0.7012987012987013	-0.19368081135109916	
rts	word_surprisal	Insekten	19	0.31112981536075823	0.5205556557544824	0.2097902097902098	-0.7013041695277699	0.3078463955926966	0.989010989010989	0.008141207496733254	0.49502542816935496	0.24475524475524477	-0.6970924176937245	
rts	word_surprisal	Berufe	6	0.27991395208350495	0.3172231283811234	0.7322677322677322	-0.17716909622654364	0.28036311949018233	0.984015984015984	-0.0023171082679775577	0.21277538255501416	0.5794205794205795	0.28784593890754806	
rts	word_surprisal	Spielzeug	17	0.3173227989616638	0.20869317100127552	0.3756243756243756	0.4823114964332875	0.22017285633151454	0.5684315684315684	0.29154476967459236	0.4052239521134404	0.5124875124875125	-0.3635012497090382	
rts	word_surprisal	Lebensmittel	4	0.33873210151095684	0.37176807633800113	0.7002997002997003	-0.196135023744094	0.3529753016090318	0.8611388611388612	-0.0894976088996265	0.3720333806879748	0.7332667332667333	-0.1682850592880919	
rts	word_surprisal	Kosmetik	14	0.294904423807231	0.17292232726753554	0.22277722277722278	0.7055471876805327	0.12593635613289164	0.2517482517482518	0.6362071184111184	0.08680175752659798	0.10989010989010989	0.8921172190483867	
rts	word_surprisal	Gartengeräte	18	0.32434642909081773	0.23382521365638506	0.6193806193806194	0.2929089956049665	0.25448681313267635	0.6963036963036963	0.22293605544252	0.3571004396897404	0.8721278721278721	-0.1278784438803165	
rts	word_surprisal	Tiere	1	0.32272627473072335	0.3709962656574795	0.7102897102897103	-0.21283886315361358	0.4238423534822935	0.42957042957042957	-0.477497166777687	0.3827646840887559	0.6443556443556444	-0.31535046887221324	
rts	word_surprisal	Körperteile	0	0.4473457024387806	0.427766574012262	0.8251748251748252	0.12097847880960269	0.40131701264279024	0.7592407592407593	0.25337671195386396	0.3409430948839933	0.3856143856143856	0.4706916097134639	
rts	word_surprisal	Gewürze	11	0.4707927673897289	0.4641977655938086	0.9250749250749251	0.04242907221885416	0.3674266010836649	0.24775224775224775	0.6835189877185576	0.4726661816265989	0.983016983016983	-0.011588735408491604	
rts	word_surprisal	Musikinstrumente	8	0.3727624595736405	0.3510785851117187	0.8211788211788211	0.10292273117146909	0.356257053071332	0.9010989010989011	0.060592664444268515	0.35746904912251826	0.926073926073926	0.04568475004129684	
rts	word_surprisal	Werkzeug	16	0.1841257540298816	0.38209297891276783	0.22477522477522477	-0.7676403608956491	0.27196974178892847	0.4595404595404595	-0.4170067787704141	0.5301993085814788	0.013986013986013986	-2.012770763943886	
rts	word_surprisal	Gemüse	10	0.1891335985352188	0.12278611133690887	0.5394605394605395	0.3259283510429676	-0.04315625009634925	0.3276723276723277	0.5875493229363952	0.3995780451876531	0.052947052947052944	-1.1079331063127846	
rts	word_surprisal	Süßigkeiten	23	0.2794955266971204	0.3484658789401287	0.6293706293706294	-0.2608821541530619	0.45039798918571383	0.2177822177822178	-0.71905559197045	0.31011327135159195	0.8721278721278721	-0.10083558623161898	
rts	word_surprisal	Möbel	13	0.29194038199580574	0.4487779567077779	0.3776223776223776	-0.5109334329376022	0.4304929788249581	0.4885114885114885	-0.4381308947176959	0.3183940644066559	0.9020979020979021	-0.06554272802384703	
rts	word_surprisal	Blumen	20	0.2981300278984702	0.4654640022617482	0.2987012987012987	-0.5953205940556703	0.2170174482035605	0.6813186813186813	0.23553937946406858	0.3174151227108412	0.922077922077922	-0.06426659180781344	
