comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.9112	0.9612	[0.505, 0.489]
['preSMA', 'sham']	0.9612	0.9612	[0.511, 0.489]
['sham', 'dual']	0.5234	0.9612	[0.489, 0.489]
