comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.4318	0.719	[7.333, 7.5]
['dual', 'sham']	0.719	0.719	[8.833, 7.5]
['sham', 'preSMA']	0.6877	0.719	[7.5, 8.167]
