comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.7277	0.7277	[0.521, 0.509]
['IFG', 'sham']	0.4356	0.6534	[0.505, 0.509]
['sham', 'preSMA']	0.3026	0.6534	[0.509, 0.497]
