comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.6911	0.9571	[0.388, 0.399]
['sham', 'IFG']	0.9375	0.9571	[0.388, 0.407]
['sham', 'preSMA']	0.9571	0.9571	[0.388, 0.415]
