comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.9719	0.9719	[0.464, 0.551]
['sham', 'IFG']	0.8821	0.9719	[0.464, 0.516]
['sham', 'preSMA']	0.9355	0.9719	[0.464, 0.53]
