comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.0633	0.1077	[12.167, 5.333]
['sham', 'IFG']	0.0921	0.1077	[12.167, 6.667]
['sham', 'preSMA']	0.1077	0.1077	[12.167, 6.833]
