comparison	uncorrected_p-value	FDR-corrected_p-value
('preSMA', 'sham')	0.04019962028548254	0.12059886085644762
('dual', 'sham')	0.006463825289387371	0.03878295173632423
('IFG', 'sham')	0.11000570484678837	0.22001140969357674
('dual', 'preSMA')	0.4980407355378538	0.5878108665223928
('IFG', 'preSMA')	0.5878108665223928	0.5878108665223928
('IFG', 'dual')	0.21472488350319563	0.32208732525479344
