comparison	uncorrected_p-value	FDR-corrected_p-value
('IFG', 'preSMA')	0.31856414201587335	0.5896841262741604
('preSMA', 'sham')	0.03782278860984985	0.22693673165909908
('dual', 'preSMA')	0.10707867469176938	0.32123602407530816
('IFG', 'sham')	0.39312275084944026	0.5896841262741604
('IFG', 'dual')	0.5434850582957069	0.6521820699548483
('dual', 'sham')	0.8831660860921098	0.8831660860921098
