comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.8098	0.858	[0.497, 0.514]
['sham', 'IFG']	0.7659	0.858	[0.497, 0.51]
['sham', 'preSMA']	0.858	0.858	[0.497, 0.518]
