comparison	uncorrected_p-value	FDR-corrected_p-value
('IFG', 'dual')	0.2593588447946222	0.666696185817889
('IFG', 'sham')	0.5680890628616315	0.6817068754339578
('IFG', 'preSMA')	0.9009941859427404	0.9009941859427404
('dual', 'sham')	0.09948951673659003	0.5969371004195402
('dual', 'preSMA')	0.3333480929089445	0.666696185817889
('preSMA', 'sham')	0.5037172360690669	0.6817068754339578
