comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.6629	0.6826	[0.473, 0.466]
['sham', 'IFG']	0.6826	0.6826	[0.466, 0.481]
['sham', 'preSMA']	0.5535	0.6826	[0.466, 0.469]
