comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.0939	0.14085	[0.506, 0.548]
['sham', 'IFG']	0.3024	0.3024	[0.548, 0.532]
['sham', 'preSMA']	0.0828	0.14085	[0.548, 0.494]
