comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.9606	0.9868	[7.5, 4.667]
['preSMA', 'sham']	0.9633	0.9868	[8.0, 4.667]
['dual', 'sham']	0.9868	0.9868	[9.0, 4.667]
