comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.2551	0.38265	[0.49, 0.514]
['sham', 'IFG']	0.4605	0.4605	[0.514, 0.51]
['sham', 'preSMA']	0.1817	0.38265	[0.514, 0.474]
