comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.55	0.6735	[13.167, 13.5]
['sham', 'IFG']	0.5503	0.6735	[13.167, 13.5]
['sham', 'preSMA']	0.6735	0.6735	[13.167, 14.333]
