comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.7734	0.8911	[0.465, 0.449]
['IFG', 'sham']	0.8281	0.8911	[0.464, 0.449]
['sham', 'preSMA']	0.8911	0.8911	[0.449, 0.469]
