comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.2292	0.578	[9.5, 11.667]
['sham', 'IFG']	0.578	0.578	[11.667, 12.5]
['sham', 'preSMA']	0.5193	0.578	[11.667, 11.833]
