comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.8641	0.8966	[0.457, 0.464]
['sham', 'IFG']	0.8966	0.8966	[0.457, 0.465]
['sham', 'preSMA']	0.5745	0.8966	[0.457, 0.458]
