comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.0863	0.2589	[14.167, 9.167]
['sham', 'IFG']	0.5174	0.5174	[14.167, 14.333]
['sham', 'preSMA']	0.3298	0.4947	[14.167, 12.5]
