comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['sham', 'dual']	0.5576	0.5576	[0.509, 0.512]
['sham', 'IFG']	0.2668	0.4002	[0.509, 0.503]
['sham', 'preSMA']	0.2227	0.4002	[0.509, 0.494]
