comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.7458	0.8034	[12.0, 10.667]
['IFG', 'sham']	0.8034	0.8034	[12.333, 10.667]
['sham', 'preSMA']	0.7029	0.8034	[10.667, 11.5]
