comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.4582	0.4582	[0.512, 0.514]
['dual', 'sham']	0.1864	0.2796	[0.494, 0.514]
['sham', 'preSMA']	0.0439	0.1317	[0.514, 0.464]
