comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['IFG', 'sham']	0.6684	0.6684	[0.491, 0.478]
['preSMA', 'sham']	0.2363	0.6394500000000001	[0.456, 0.478]
['sham', 'dual']	0.4263	0.6394500000000001	[0.478, 0.474]
