comparison	uncorrected_p-value	FDR-corrected_p-value	averages
['dual', 'sham']	0.5784	0.5784	[0.482, 0.476]
['IFG', 'sham']	0.4541	0.5784	[0.474, 0.476]
['sham', 'preSMA']	0.2437	0.5784	[0.476, 0.456]
